Date,AT,DE,ES,FR,GR,HR,HU,PL,RO,RS,SK
2025/1/1 0:00,2317.71,307.45,,20.34,183.58,175.43,211997.56,-71.45,746.35,134.617,170.0
2025/1/1 0:15,2542.54,486.98,,19.22,183.89,175.43,150350.75,-21.64,299.0,146.488,170.0
2025/1/1 0:30,1748.09,307.57,,32.13,120.92,175.43,109856.99,460.55,297.98,164.309,170.0
2025/1/1 0:45,1651.49,310.81,,29.13,120.92,75.19,114445.3,468.37,188.58,171.719,170.0
2025/1/1 1:00,197.65,180.13,,13.24,120.92,186.27,174191.26,296.99,826.08,182.447,2632.3
2025/1/1 1:15,166.41,119.78,,14.27,119.571,186.27,171339.15,454.25,0.0,171.948,165.81
2025/1/1 1:30,311.47,294.04,,14.31,95.51,186.27,157150.75,149.0,299.0,165.115,298.52
2025/1/1 1:45,256.21,235.55,,92.37,95.479,79.83,141969.52,-136.71,290.0,172.449,270.54
2025/1/1 2:00,303.6,253.87,,517.53,120.92,174.92,191075.16,320.75,299.0,229.762,383.39
2025/1/1 2:15,147.73,119.96,,455.57,119.5,174.92,193089.08,320.75,299.0,255.3,292.16
2025/1/1 2:30,145.58,125.65,,450.93,95.488,174.92,115295.17,320.75,680.0,229.993,228.49
2025/1/1 2:45,117.58,85.53,,2.31,95.451,174.92,106137.63,149.0,680.0,23.062,333.01
2025/1/1 3:00,147.25,109.44,,715.38,103.754,130.94,105232.18,452.74,0.0,228.9,265.45
2025/1/1 3:15,114.87,98.04,,516.74,104.743,130.94,102244.67,468.37,680.0,0.0,162.5
2025/1/1 3:30,112.01,42.55,,11.46,104.683,130.94,4764.0,320.75,680.0,39.13,138.02
2025/1/1 3:45,105.27,-7.02,,-7.57,103.184,130.94,96967.23,149.0,693.57,44.948,101.21
2025/1/1 4:00,152.95,125.53,,-7.27,85.462,89.17,96160.05,-145.71,756.37,195.3,199.34
2025/1/1 4:15,146.68,122.45,,9.31,85.468,89.17,96806.75,320.75,703.23,34.876,161.53
2025/1/1 4:30,142.24,102.33,,9.31,83.399,89.17,97316.04,320.75,680.0,41.376,166.27
2025/1/1 4:45,135.59,39.88,,-9.61,85.073,89.17,97515.77,320.75,701.84,40.187,158.5
2025/1/1 5:00,148.71,-7.55,,9.31,85.47,131.17,97414.49,461.47,707.28,0.0,290.2
2025/1/1 5:15,160.93,52.47,,11.39,85.454,131.17,115512.52,483.31,680.0,207.9,179.0
2025/1/1 5:30,161.52,99.09,,11.41,85.47,126.24,98067.93,512.22,764.49,167.221,235.86
2025/1/1 5:45,321.94,123.8,,11.48,85.183,123.26,96888.47,512.4,781.93,46.827,269.6
2025/1/1 6:00,217.33,221.24,,11.41,84.04,117.75,94207.77,-136.21,760.62,43.956,78.6
2025/1/1 6:15,162.7,145.07,,11.52,150.463,118.15,4992.0,-130.14,760.62,143.16,151.63
2025/1/1 6:30,148.15,101.57,,11.52,175.97,119.34,4994.0,-147.21,754.82,167.804,154.25
2025/1/1 6:45,173.6,-29.74,,11.52,177.385,120.25,5065.0,-136.21,0.0,186.909,60.47
2025/1/1 7:00,223.11,237.53,,11.52,173.734,111.6,96624.27,484.03,719.84,54.215,51.39
2025/1/1 7:15,142.29,135.08,,11.52,173.999,111.62,96724.87,475.71,-77.59,50.367,35.54
2025/1/1 7:30,159.48,-20.64,,11.52,211.59,110.65,-233.0,307.49,191.39,151.492,0.1
2025/1/1 7:45,155.85,-35.75,,10.9,0.0,109.54,-7925.53,-65.94,-2589.81,140.21,70.54
2025/1/1 8:00,126.18,-90.07,,11.17,211.59,48.28,-4818.76,-200.05,170.36,124.9,9.42
2025/1/1 8:15,133.28,-143.1,,12.39,211.59,51.79,-11019.7,-200.05,-125.65,113.834,4.35
2025/1/1 8:30,142.46,-39.4,,12.3,0.0,51.79,-3245.1,-200.05,-2286.04,100.695,52.61
2025/1/1 8:45,142.03,-96.09,,9.54,0.0,51.79,-12447.0,-393.3,-5001.0,110.497,38.43
2025/1/1 9:00,171.19,75.47,,-3.59,35.597,62.99,-38407.72,-587.28,-589.01,91.673,44.19
2025/1/1 9:15,168.4,1.16,,-14.22,35.337,62.99,-25820.37,-587.28,-358.41,94.61,74.21
2025/1/1 9:30,161.28,6.1,,-43.55,35.152,62.99,-21121.0,-587.28,-191.93,81.653,83.71
2025/1/1 9:45,142.76,-105.17,,-38.62,32.442,62.99,-25177.91,-587.28,-148.99,89.336,16.54
2025/1/1 10:00,170.66,16.37,,0.58,19.749,52.74,-13852.3,-637.17,-124.61,58.855,121.69
2025/1/1 10:15,153.09,-152.09,,1.44,20.804,51.52,-19222.48,-637.17,-123.53,73.446,128.5
2025/1/1 10:30,148.14,-155.98,,0.16,21.66,51.37,-9197.95,-637.17,-148.56,56.969,143.21
2025/1/1 10:45,122.63,-193.41,,-0.04,21.757,51.38,-4700.79,-637.17,-107.67,62.076,26.79
2025/1/1 11:00,161.23,-144.02,,45.23,9.761,52.53,-2365.88,-433.86,6.02,38.171,32.23
2025/1/1 11:15,192.98,-69.36,,3.05,9.781,52.71,-158.08,-433.86,0.23,41.085,53.43
2025/1/1 11:30,221.92,-85.56,,3.22,27.252,53.62,101000.96,-433.86,-172.25,22.954,122.83
2025/1/1 11:45,644.58,-13.27,,3.65,27.179,53.68,100161.05,-402.21,0.3,36.162,233.65
2025/1/1 12:00,634.46,-60.38,,1.08,30.995,54.63,103599.07,-206.21,2.56,50.478,173.04
2025/1/1 12:15,520.23,-9.79,,2.61,30.417,54.58,106365.77,-347.21,14.58,24.556,215.3
2025/1/1 12:30,176.88,-5.59,,2.77,30.522,127.13,110112.59,307.49,13.1,15.278,144.38
2025/1/1 12:45,148.76,-6.94,,2.81,30.496,136.12,109965.1,307.49,12.25,21.003,97.33
2025/1/1 13:00,140.92,61.02,,8.74,46.557,154.31,108934.9,512.4,1.24,47.984,66.32
2025/1/1 13:15,130.04,43.8,,9.71,45.997,155.62,109071.96,497.64,-72.94,110.786,79.49
2025/1/1 13:30,142.82,1.56,,8.2,29.527,154.81,146656.72,505.92,-104.4,142.5,117.45
2025/1/1 13:45,183.41,25.48,,-10.86,140.0,176.12,129088.9,518.07,-166.45,18.555,178.99
2025/1/1 14:00,267.97,3.83,,6.99,40.15,815.4,109614.05,542.04,-77.32,36.26,36.35
2025/1/1 14:15,651.14,56.79,,6.82,40.15,890.56,1793.24,507.57,-84.74,40.901,91.18
2025/1/1 14:30,283.11,130.91,,4.97,40.15,86.16,3248.2,506.32,-146.76,66.046,398.05
2025/1/1 14:45,736.09,147.1,,4.99,156.2,36.92,5000.0,513.33,-315.33,45.79,220.93
2025/1/1 15:00,106.71,-114.66,,5.49,0.02,116.7,1633.84,468.37,8.83,56.081,106.8
2025/1/1 15:15,152.86,-2.22,,4.99,0.02,116.7,1505.75,473.53,1.35,54.705,148.54
2025/1/1 15:30,156.29,-57.03,,4.99,158.1,116.7,2237.04,491.8,177.01,58.81,167.84
2025/1/1 15:45,158.69,-71.28,,4.99,158.984,116.7,2499.59,506.32,561.5,276.75,162.74
2025/1/1 16:00,170.3,142.9,,5.26,78.259,41.33,1012.65,193.1,-8.0,68.803,99.01
2025/1/1 16:15,211.15,-10.89,,5.61,83.198,64.54,2807.38,35.29,-251.53,51.874,155.98
2025/1/1 16:30,198.33,132.33,,226.62,194.396,150.58,10810.0,35.29,-72.21,242.164,195.41
2025/1/1 16:45,178.73,149.93,,92.84,194.468,150.58,3406.16,33.36,-17.52,242.549,163.49
2025/1/1 17:00,150.77,155.97,,11.06,94.603,73.82,3893.96,11.86,27.29,245.809,220.98
2025/1/1 17:15,203.02,104.7,,8.86,174.262,73.82,4005.0,11.86,-193.94,257.55,70.3
2025/1/1 17:30,181.4,105.08,,19.0,173.132,73.82,26132.0,11.86,3.0,272.662,78.25
2025/1/1 17:45,170.44,45.0,,65.46,173.649,73.82,26132.0,11.86,3.82,257.341,54.67
2025/1/1 18:00,165.33,90.25,,19.0,94.867,179.24,109919.29,-10.67,-51.74,79.578,186.19
2025/1/1 18:15,165.1,-54.39,,20.32,94.778,76.82,155666.25,-10.67,11.73,0.0,150.86
2025/1/1 18:30,159.49,78.78,,18.02,194.248,76.82,114362.98,-10.67,-40.69,58.503,139.62
2025/1/1 18:45,149.41,-125.13,,21.07,194.241,76.82,123188.15,-10.67,3.0,19.329,145.61
2025/1/1 19:00,205.6,120.96,,5.41,173.194,187.57,189332.66,-20.86,3.0,256.465,80.03
