Date,AT,DE,ES,FR,GR,HR,HU,PL,RO,RS,SK
2021/1/1 0:00,74.47,,50.87,62.28,,538.4,-440.0,191.33,0.1,54.65,125.0
2021/1/1 0:15,80.72,,50.87,62.28,,538.4,-3356.46,191.33,0.1,54.65,125.0
2021/1/1 0:30,70.28,,50.87,64.48,,538.4,-2811.45,191.33,0.1,54.65,125.0
2021/1/1 0:45,69.32,,50.87,64.48,,538.4,-3551.4,191.33,0.1,54.65,125.0
2021/1/1 1:00,85.42,,48.19,55.59,,510.03,-179149.14,191.33,0.1,49.91,125.0
2021/1/1 1:15,84.96,,48.19,55.59,,510.03,-7911.59,191.33,0.1,49.91,125.0
2021/1/1 1:30,80.71,,48.19,54.23,,510.03,-5403.07,191.33,0.1,49.91,125.0
2021/1/1 1:45,70.53,,48.19,54.23,,510.03,-10287.93,191.33,0.1,49.91,125.0
2021/1/1 2:00,77.71,,44.68,55.74,,472.88,-10111.36,191.33,0.1,55.77,125.0
2021/1/1 2:15,68.75,,44.68,55.74,,472.88,-7395.2,191.33,0.1,55.77,125.0
2021/1/1 2:30,67.04,,44.68,53.93,,472.88,-7609.35,191.33,0.1,55.77,125.0
2021/1/1 2:45,48.43,,44.68,53.93,,472.88,-8878.15,191.33,0.1,55.77,-35.0
2021/1/1 3:00,68.68,,38.5,49.92,,454.26,-6212.67,191.33,0.1,44.28,125.0
2021/1/1 3:15,69.74,,38.5,49.92,,454.26,-7740.2,191.33,0.1,44.28,125.0
2021/1/1 3:30,66.88,,38.5,54.07,,454.26,-8743.92,191.33,0.1,44.28,125.0
2021/1/1 3:45,65.76,,38.5,54.07,,454.26,-8666.43,191.33,0.1,44.28,125.0
2021/1/1 4:00,0.7,,36.8,57.2,,427.48,-7786.34,191.33,0.1,53.85,-35.0
2021/1/1 4:15,66.86,,36.8,57.2,,427.48,-4477.41,191.33,0.1,53.85,-35.0
2021/1/1 4:30,69.23,,36.8,38.65,,427.48,-4489.05,191.33,0.1,53.85,-35.0
2021/1/1 4:45,-10.04,,36.8,38.65,,427.48,-4520.45,191.33,0.1,53.85,-35.0
2021/1/1 5:00,78.08,,33.74,55.52,,425.47,-571.4,191.33,0.1,39.38,-35.0
2021/1/1 5:15,74.72,,33.74,55.52,,425.47,-544.0,191.33,0.1,39.38,-35.0
2021/1/1 5:30,71.24,,33.74,54.68,,425.47,-544.0,191.33,0.1,39.38,125.0
2021/1/1 5:45,67.22,,33.74,54.68,,425.47,-732.24,191.33,0.1,39.38,-35.0
2021/1/1 6:00,66.09,,33.71,51.56,,419.44,-85196.37,191.33,0.1,35.65,-35.0
2021/1/1 6:15,78.69,,33.71,51.56,,419.44,-77999.2,191.33,0.1,35.65,-35.0
2021/1/1 6:30,79.26,,33.71,54.19,,419.44,-77999.2,191.33,0.1,35.65,-35.0
2021/1/1 6:45,81.43,,33.71,54.19,,419.44,-78697.2,191.33,0.1,35.65,-35.0
2021/1/1 7:00,78.47,,33.79,55.44,,62.55,71998.8,191.33,0.1,30.12,-35.0
2021/1/1 7:15,77.96,,33.79,55.44,,62.55,-5803.2,191.33,0.1,30.12,-35.0
2021/1/1 7:30,62.2,,33.79,54.24,,62.55,72023.09,191.33,0.1,30.12,-35.0
2021/1/1 7:45,71.65,,33.79,54.24,,62.55,71998.8,191.33,0.1,30.12,-35.0
2021/1/1 8:00,15.59,,31.54,53.89,,187.2,-4723.04,191.33,0.1,34.22,-35.0
2021/1/1 8:15,75.03,,31.54,53.89,,187.2,-5078.96,191.33,0.1,34.22,-35.0
2021/1/1 8:30,46.21,,31.54,39.5,,187.2,-5302.04,191.33,0.1,34.22,125.0
2021/1/1 8:45,46.21,,31.54,39.5,,187.2,-5030.07,191.33,0.1,34.22,125.0
2021/1/1 9:00,-53.18,,23.59,42.95,,214.15,-5901.15,191.33,0.1,48.88,-35.0
2021/1/1 9:15,14.0,,23.59,42.95,,214.15,-5906.57,191.33,0.1,48.88,-35.0
2021/1/1 9:30,16.63,,23.59,42.95,,214.15,-5888.51,191.33,0.1,48.88,-35.0
2021/1/1 9:45,15.54,,23.59,42.95,,214.15,-5957.34,191.33,0.1,48.88,-35.0
2021/1/1 10:00,-7.24,,33.86,44.31,,476.27,-4989.62,191.33,0.1,40.06,-35.0
2021/1/1 10:15,-2.34,,33.86,44.31,,476.27,-5007.26,191.33,0.1,40.06,-35.0
2021/1/1 10:30,66.44,,33.86,39.72,,476.27,-4814.42,191.33,0.1,40.06,125.0
2021/1/1 10:45,66.25,,33.86,39.72,,476.27,-2720.61,191.33,0.1,40.06,125.0
2021/1/1 11:00,69.22,,37.55,41.37,,486.85,-3985.66,191.33,0.1,50.41,-35.0
2021/1/1 11:15,79.35,,37.55,41.37,,486.85,-2050.4,191.33,0.1,50.41,-35.0
2021/1/1 11:30,79.05,,37.55,45.6,,486.85,-2050.4,191.33,0.1,50.41,125.0
2021/1/1 11:45,78.71,,37.55,45.6,,486.85,-5730.32,191.33,0.1,50.41,-35.0
2021/1/1 12:00,74.98,,37.55,52.81,,208.65,-5361.38,191.33,0.1,50.14,125.0
2021/1/1 12:15,71.82,,37.55,52.81,,208.65,-6023.69,191.33,0.1,50.14,-35.0
2021/1/1 12:30,72.34,,37.55,53.56,,208.65,-5784.72,191.33,0.1,50.14,-35.0
2021/1/1 12:45,71.79,,37.55,53.56,,208.65,-6014.38,191.33,0.1,50.14,-35.0
2021/1/1 13:00,73.46,,37.55,49.95,,206.34,-4118.09,204.19,0.1,19.56,125.0
2021/1/1 13:15,72.6,,37.55,49.95,,206.34,-3594.03,204.19,0.1,19.56,125.0
2021/1/1 13:30,71.8,,37.55,52.68,,206.34,-1484.89,204.19,0.1,19.56,-35.0
